01	5.92
02	3.59
03	5.76
04	3.10
05	5.46
06	6.57
07	5.00
08	6.17
09	8.04
10	4.33
11	5.07
12	7.72
13	5.55
14	3.91
15	7.61
16	3.45
17	3.89
18	7.31
19	4.27
20	7.72
21	10.10
22	3.87
23	6.12
24	4.05
25	4.07
26	3.57
27	7.13
28	5.91
29	3.14
30	7.40
31	5.58
32	8.20
33	5.91
34	4.33
35	3.65
36	5.29
37	6.31
38	3.13
39	3.79
40	6.65
41	4.97
42	3.99
43	4.10
44	3.06
45	4.62
46	3.84
47	3.63
48	3.09
49	6.64
50	4.69
51	4.47
52	4.51
53	3.87
54	3.99
55	6.46
56	4.85
57	6.95
58	6.54
59	3.58
60	3.24
61	4.70
62	4.45
63	3.03
64	7.48
65	4.37
66	3.72
67	7.38
68	4.79
69	6.79
70	3.62
71	3.10
72	6.07
73	6.31
74	5.82
75	7.28
76	3.70
77	4.58
78	3.93
79	8.71
80	3.65
81	5.03
82	8.39
83	3.27
84	4.50
85	7.05
86	5.98
87	4.79
88	4.64
89	5.33
90	3.72
91	3.75
92	4.76
93	5.86
94	7.30
95	3.77
96	3.72
97	4.63
98	3.56
99	3.92
100	4.11
101	6.56
102	6.62
103	6.30
104	3.46
105	3.22
106	9.45
107	5.38
108	3.72
109	3.20
110	6.58
111	5.77
112	8.51
113	3.56
114	7.90
115	7.03
116	9.64
117	4.81
120	7.26
121	4.50
122	3.34
123	3.86
125	7.65
126	5.11
127	3.03
128	5.19
129	7.09
130	5.37
131	4.93
132	3.58
133	4.68
134	4.63
135	4.41
136	4.94
137	3.40
138	3.28
139	3.83
140	4.59
141	3.28
142	5.34
143	8.36
144	6.01
145	4.08
